               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               0.106,            0.020625,                   0,           0.0033333,                   1,            0.019284,           0.0033969,            0.045711,            0.011631,                   0,              0.0757,              0.0027,              0.0027
                   1,             0.06778,            0.023984,                   0,             0.13486,             0.42857,             0.11128,            0.031609,            0.027091,            0.011816,                   0,            0.050464,           0.0054637,           0.0054637
                   2,            0.057682,            0.022808,                   0,            0.059777,             0.40476,            0.052028,             0.01002,            0.025799,            0.016438,                   0,             0.02519,           0.0081904,           0.0081904
                   3,             0.06081,            0.021883,                   0,            0.017758,             0.38095,            0.019178,           0.0036633,            0.041364,            0.012144,                   0,            0.009802,            0.009802,            0.009802
                   4,            0.049909,            0.021828,                   0,            0.017217,            0.071429,           0.0038817,           0.0011987,            0.043954,           0.0085443,                   0,            0.009802,            0.009802,            0.009802
                   5,            0.047539,            0.020676,                   0,             0.40437,             0.52381,             0.35358,             0.13974,            0.019927,           0.0083648,                   0,            0.009736,            0.009736,            0.009736
                   6,            0.045296,            0.021027,                   0,             0.17266,             0.38095,             0.18649,            0.047173,            0.024614,           0.0099856,                   0,             0.00967,             0.00967,             0.00967
                   7,            0.041376,            0.018407,                   0,             0.85184,             0.68461,             0.80205,             0.25028,            0.021086,           0.0084546,                   0,            0.009604,            0.009604,            0.009604
                   8,            0.043255,            0.018172,                   0,             0.63537,              0.5395,             0.52265,             0.13738,            0.021811,             0.00844,                   0,            0.009538,            0.009538,            0.009538
                   9,            0.038316,            0.017696,                   0,             0.83292,             0.83333,             0.89272,             0.44854,             0.01945,            0.005074,                   0,            0.009472,            0.009472,            0.009472
                  10,            0.037132,            0.016453,                   0,             0.97873,             0.83333,              0.9247,             0.47715,            0.018397,            0.005011,                   0,            0.009406,            0.009406,            0.009406
                  11,            0.037823,            0.016349,                   0,             0.90644,             0.95238,             0.95177,             0.42907,            0.023958,           0.0042481,                   0,             0.00934,             0.00934,             0.00934
                  12,            0.033122,            0.015425,                   0,             0.59211,             0.88095,             0.61394,             0.32537,            0.018072,           0.0063749,                   0,            0.009274,            0.009274,            0.009274
                  13,             0.03723,            0.015501,                   0,             0.88581,             0.92857,             0.94588,              0.6183,            0.016679,           0.0039486,                   0,            0.009208,            0.009208,            0.009208
